Year,Annee,ISO,Jurisdiction,Juridiction,Insect_species,Insecte_espece,Area,Data_qualifier,Superficie,Qualificatifs_de_donnees
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Western spruce budworm,Tordeuse occidentale de l'epinette,0,n,0,n
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,n,0,n
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Spruce beetle,Dendroctone de l'epinette,0,u,0,u
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2000,2000,NB,New Brunswick,Nouveau-Brunswick,Other,Autres,0,a,0,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,a,0,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Jack pine budworm,Tordeuse du pin gris,0,n,0,n
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Hemlock looper,Arpenteuse de la pruche,11874,a,11874,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Forest tent caterpillar,Livree des forets,0,a,0,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spongy moth,Spongieuse,0,n,0,n
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Balsam fir sawfly,Diprion du sapin,41500,a,41500,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Swaine jack pine sawfly,Diprion de Swaine,0,n,0,n
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Western spruce budworm,Tordeuse occidentale de l'epinette,0,n,0,n
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,n,0,n
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Spruce beetle,Dendroctone de l'epinette,0,a,0,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2000,2000,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Other,Autres,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Jack pine budworm,Tordeuse du pin gris,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Forest tent caterpillar,Livree des forets,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Spongy moth,Spongieuse,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Balsam fir sawfly,Diprion du sapin,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Western spruce budworm,Tordeuse occidentale de l'epinette,0,n,0,n
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,n,0,n
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Spruce beetle,Dendroctone de l'epinette,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Aspen twoleaf tier,Noctuelle decolorie,0,a,0,a
2000,2000,NS,Nova Scotia,Nouvelle-ecosse,Other,Autres,0,a,0,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce budworm,Tordeuse des bourgeons de l'epinette,0,u,0,u
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Jack pine budworm,Tordeuse du pin gris,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Mountain pine beetle,Dendroctone du pin ponderosa,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Hemlock looper,Arpenteuse de la pruche,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Forest tent caterpillar,Livree des forets,0,a,0,a
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Spongy moth,Spongieuse,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Balsam fir sawfly,Diprion du sapin,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Swaine jack pine sawfly,Diprion de Swaine,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Bruce spanworm,Arpenteuse de Bruce,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Western spruce budworm,Tordeuse occidentale de l'epinette,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Large aspen tortrix,Tordeuse du tremble,0,u,0,u
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Spruce beetle,Dendroctone de l'epinette,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Aspen twoleaf tier,Noctuelle decolorie,0,n,0,n
2000,2000,NT,Northwest Territories,Territoires du Nord-Ouest,Other,Autres,0,u,0,u
2000,2000,ON,Ontario,Ontario,Spruce budworm,Tordeuse des bourgeons de l'epinette,115080,a,115080,a
2000,2000,ON,Ontario,Ontario,Jack pine budworm,Tordeuse du pin gris,0,u,0,u
2000,2000,ON,Ontario,Ontario,Mountain pine beetle,Dendroctone du pin ponderosa,0,a,0,a
2000,2000,ON,Ontario,Ontario,Hemlock looper,Arpenteuse de la pruche,0,a,0,a
2000,2000,ON,Ontario,Ontario,Forest tent caterpillar,Livree des forets,7210432,a,7210432,a
2000,2000,ON,Ontario,Ontario,Spongy moth,Spongieuse,0,a,0,a
2000,2000,ON,Ontario,Ontario,Blackheaded budworm,Tordeuse a tete noire de l'epinette,0,a,0,a
2000,2000,ON,Ontario,Ontario,Balsam fir sawfly,Diprion du sapin,0,a,0,a
2000,2000,ON,Ontario,Ontario,Swaine jack pine sawfly,Diprion de Swaine,0,a,0,a
2000,2000,ON,Ontario,Ontario,Bruce spanworm,Arpenteuse de Bruce,0,a,0,a
2000,2000,ON,Ontario,Ontario,Western spruce budworm,Tordeuse occidentale de l'epinette,0,a,0,a
2000,2000,ON,Ontario,Ontario,Large aspen tortrix,Tordeuse du tremble,0,a,0,a
2000,2000,ON,Ontario,Ontario,Two-year-cycle spruce budworm,Tordeuse a cycle de deux ans,0,a,0,a
